rank,alpha,trainable_layers,lr,weight_decay,num_epochs,pre_train_acc,pre_val_acc,pre_test_acc,final_train_acc,final_val_acc,final_test_acc,train_loss_last,val_loss_last,examples_seen,minutes
4,4,all,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9798657718120806,0.9633333333333334,7.625853481272315e-06,0.2240119241366636,20800,3.4961937069892883
8,4,all,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9798657718120806,0.9633333333333334,7.625853481272315e-06,0.2240119241366636,20800,3.521748642126719
16,4,all,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9798657718120806,0.9633333333333334,7.625853481272315e-06,0.2240119241366636,20800,3.492291887601217
32,4,all,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9798657718120806,0.9633333333333334,7.625853481272315e-06,0.2240119241366636,20800,3.5062800288200378
4,8,all,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9798657718120806,0.9633333333333334,7.625853481272315e-06,0.2240119241366636,20800,3.493114427725474
8,8,all,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9798657718120806,0.9633333333333334,7.625853481272315e-06,0.2240119241366636,20800,3.489137589931488
16,8,all,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9798657718120806,0.9633333333333334,7.625853481272315e-06,0.2240119241366636,20800,3.5127532760302227
32,8,all,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9798657718120806,0.9633333333333334,7.625853481272315e-06,0.2240119241366636,20800,3.5016870458920795
4,16,all,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9798657718120806,0.9633333333333334,7.625853481272315e-06,0.2240119241366636,20800,3.499142889181773
8,16,all,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9798657718120806,0.9633333333333334,7.625853481272315e-06,0.2240119241366636,20800,3.513353232542674
16,16,all,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9798657718120806,0.9633333333333334,7.625853481272315e-06,0.2240119241366636,20800,3.501678641637166
32,16,all,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9798657718120806,0.9633333333333334,7.625853481272315e-06,0.2240119241366636,20800,3.506921943028768
4,32,all,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9798657718120806,0.9633333333333334,7.625853481272315e-06,0.2240119241366636,20800,3.4998858094215395
8,32,all,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9798657718120806,0.9633333333333334,7.625853481272315e-06,0.2240119241366636,20800,3.5080676436424256
16,32,all,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9798657718120806,0.9633333333333334,7.625853481272315e-06,0.2240119241366636,20800,3.501011184851329
32,32,all,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9798657718120806,0.9633333333333334,7.625853481272315e-06,0.22401192413666363,20800,3.5000462492307025
